Year_CE	Age _YBP	d18OC	O18sw	SST
1815.00	134.9999998	-2.9875	-0.52326	27.51
1794.29	155.7142855	-2.9455	-0.48007	27.52
1787.38	162.6190475	-2.8565	-0.21161	28.38
1780.48	169.5238094	-3.1555	-0.39008	28.96
1773.57	176.4285713	-2.9805	-0.30049	28.55
1766.67	183.3333332	-2.8975	-0.36613	27.83
1759.76	190.2380951	-3.0295	-0.46988	27.97
1752.86	197.142857	-2.9355	-0.31745	28.25
1745.95	204.0476189	-3.1125	-0.48847	28.28
1739.05	210.9523809	-3.1415	-0.78252	27.01
1732.14	217.8571428	-3.1225	-0.78011	26.93
1725.24	224.7619047	-3.0615	-0.64824	27.27
1718.33	231.6666666	-2.8715	-0.45033	27.31
1711.43	238.5714285	-2.9325	-0.46945	27.51
1704.52	245.4761904	-3.2005	-0.78232	27.29
1697.62	252.3809523	-2.9695	-0.49015	27.58
1690.71	259.2857143	-3.1755	-0.84531	26.87
1683.81	266.1904762	-3.1905	-0.62917	27.98
1676.90	273.0952381	-3.0735	-0.62994	27.41
1670.00	280	-2.8858	-0.36504	27.78
1663.33	286.67	-3.0201	-0.44707	28.03
1656.66	293.34	-3.0075	-0.60786	27.20
1649.99	300.01	-3.1387	-0.68042	27.48
1643.32	306.68	-3.0501	-0.55687	27.65
1636.65	313.35	-2.8230	-0.31723	27.71
1629.98	320.02	-2.8297	-0.20758	28.27
1623.31	326.69	-3.0926	-0.45314	28.35
1616.64	333.36	-2.8071	-0.23883	28.01
1609.97	340.03	-2.9929	-0.54618	27.43
1603.30	346.7	-3.0908	-0.39724	28.61
1596.63	353.37	-3.0205	-0.47067	27.92
1589.96	360.04	-2.9761	-0.39661	28.07
1583.29	366.71	-3.2617	-0.63253	28.30
1576.62	373.38	-2.9409	-0.46535	27.57
1569.95	380.05	-3.1225	-0.44591	28.53
1563.28	386.72	-2.9950	-0.49145	27.70
1556.61	393.39	-2.8676	-0.32433	27.89
1549.94	400.06	-2.9112	-0.32394	28.10
1543.27	406.73	-2.9293	-0.46513	27.51
1536.60	413.4	-3.0845	-0.61726	27.53
1529.93	420.07	-2.9359	-0.32288	28.23
1523.26	426.74	-3.2288	-0.57508	28.42
1516.59	433.41	-3.0974	-0.37325	28.76
1509.92	440.08	-3.1414	-0.40697	28.81
1503.25	446.75	-2.8979	-0.29666	28.17
1496.58	453.42	-3.2276	-0.58171	28.38
1489.91	460.09	-2.8441	-0.34835	27.66
1483.24	466.76	-3.1189	-0.61508	27.70
1476.57	473.43	-2.6837	-0.11525	28.01
1469.90	480.1	-3.1681	-0.59958	28.01
1456.56	493.44	-2.9440	-0.18900	28.91
1449.89	500.11	-2.9264	-0.23436	28.61
1429.88	520.12	-2.9761	-0.50720	27.53
1422.00	528	-2.8786	0.02991	29.65
1414.12	535.88	-2.9084	-0.16915	28.83
1406.24	543.76	-3.0036	-0.33939	28.47
1398.36	551.64	-2.9175	-0.29020	28.30
1390.48	559.52	-2.9127	-0.27888	28.33
1382.60	567.4	-3.0782	-0.51476	27.99
1374.72	575.28	-2.8934	-0.08142	29.18
1366.84	583.16	-3.0374	-0.50008	27.86
1358.96	591.04	-2.9235	-0.39601	27.82
1351.08	598.92	-2.9336	-0.16310	28.98
1343.20	606.8	-2.7291	-0.10098	28.30
1335.32	614.68	-2.7083	-0.12608	28.08
1327.44	622.56	-2.8786	-0.14484	28.81
1319.56	630.44	-2.8370	-0.20596	28.31
1311.68	638.32	-2.8569	-0.26691	28.12
1303.80	646.2	-2.8207	-0.13049	28.60
1295.92	654.08	-2.9109	-0.26249	28.40
1288.04	661.96	-2.8130	-0.21443	28.16
1280.16	669.84	-2.8246	-0.23275	28.12
1272.28	677.72	-2.9720	-0.29002	28.56
1264.40	685.6	-2.9921	-0.36490	28.29
1248.64	701.36	-3.0122	-0.11046	29.61
1240.76	709.24	-2.9705	-0.23322	28.82
1232.88	717.12	-2.8276	-0.03863	29.07
1225.00	725	-2.8625	-0.07633	29.06
1217.12	732.88	-2.7540	0.04302	29.11
1201.36	748.64	-2.7689	-0.24089	27.82
1193.48	756.52	-2.8036	0.02938	29.28
1185.60	764.4	-2.7806	-0.08951	28.60
1177.72	772.28	-2.7575	0.00206	28.93
1169.84	780.16	-2.9037	-0.16730	28.82
1161.96	788.04	-3.1757	-0.50988	28.48
1146.20	803.8	-3.1767	-0.50344	28.52
1138.32	811.68	-3.1630	-0.34453	29.21
1130.44	819.56	-3.1493	-0.31618	29.28
1122.56	827.44	-2.6837	-0.02205	28.46
1114.68	835.32	-3.2746	-0.65535	28.26
1106.80	843.2	-2.9075	-0.07501	29.28
1098.92	851.08	-2.8359	-0.36001	27.57
1091.04	858.96	-2.9927	-0.21800	29.00
1075.28	874.72	-3.1043	-0.11886	30.01
1067.40	882.6	-2.9827	-0.44318	27.87
1059.52	890.48	-3.0005	-0.40618	28.14
1051.64	898.36	-2.7408	0.06068	29.13
1043.76	906.24	-2.9221	-0.03619	29.54
1035.88	914.12	-2.9815	-0.35437	28.29
1028.00	922	-2.8755	-0.08313	29.09
1020.12	929.88	-3.1425	-0.38255	28.93
1012.24	937.76	-3.0042	-0.53743	27.52
1004.36	945.64	-2.9473	-0.38528	27.98
				
				
